QuestLoc_SpringingtheTrap_QuestObjective_1	发现瘟疫的身份。
QuestLoc_TheThinlyVeiledPlotThickens_Conversation_1_Team_2	你知道号角报的办公室在哪里吗？
QuestLoc_GameShowGauntletH_Conversation_3_NPCStart_1	现在进入“掉脑袋”的第三回合！
Outfit_Name_JacketTshirt	摩托车夹克
Outfit_Name_LucysYellowDress	露西的黄裙子
QuestLoc_KnockEmDown_Conversation_2_NPCEnd_1	你竟想用拙劣的文字游戏来拒绝？那就随你便。
QuestLoc_AllSalesFinal_Conversation_1_Team_3	对不起，麻烦你了。我们正在寻找这些原料。
QuestLoc_DeathclawDeeLite_3_QuestLongDesc	现在我们有了死爪毒药。我想我们应该去喷洒旅馆附近的巢穴来根治问题，而不是喷旅馆本身。
QuestLoc_SavingDaylight_Conversation_1_NPCEnd_1	错了。不要指望我们告诉你“节省天光”将如何让我们生活！
QuestLoc_OBrother_Answer05_PC02	好吧好吧，冷静点。我们没来过这里，什么都没看见……
QuestLoc_CollectorsEdition_Conversation_1_NPCStart_3	……然后我们会让巧手先生把你烤得好好的！
QuestLoc_EvictionNotice_QuestShortDesc	把大汗帮赶出诺瓦克的恐龙迪莱特旅馆。
QuestLoc_TheSecretofREDACTED_RaiderLine_3	我现在倒想来点“乌拉（Vril）”。我是说……饱饱牌肉罐头。对，就那个。
QuestLoc_MyWeirdScienceProject_QuestLongDescription	想要研究发光辐射蝎的致死性，有什么比亲自观察更好呢？派遣你的研究队深入怪兽洞穴吧。当然你得先杀了它。
QuestLoc_DibsattheRedRocket_QuestObjective_1	寻找有价值的垃圾。
QuestLoc_GoingToTown_2_Question2_Answer1	你不想当奴隶？但你已经是了！太糟糕了！
Raider_Name_Plural	掠夺者
Encounter_Progression_JustStartedTier2_3	这还不算太坏。也许我们都应该离开避难所……
Pet_Description_boxer_b	很会玩，对孩子们也友善，还能一把拧下掠夺者的胳膊。简直太棒了。
QuestLoc_Tonics_Answer01_PC02	菲利镇被掠夺者袭击了！很多人受伤了！
QuestLoc_APaleImitation_QuestLongDescription	在废土上有一个新避难所，是掠夺者管理的！避难所科技早已不复存在，那又会是谁修建了 R41D 号避难所呢？赶紧去调查吧。
QuestLoc_PetPeeve_Conversation_1_Team_2	只要告诉我瓶瓶和盖盖去哪儿了，你这个怪咖！
QuestLoc_ExtremePrejudice_Conversation_5_NPCEnd_4	不，特工人员，我希望你死。
QuestLoc_GameShowGauntletK_Conversation_4_NPCEnd_3	哈！我正在喝。加油，你会……“掉脑袋”的！
QuestLoc_TheShadowWolf_QuestName	影狼
Stats_Failed_Rushes	极速模式失败
QuestLoc_TheCaseoftheLostLunch_QuestObjective_2	同定居点的居民交谈。
QuestLoc_ScienceCooperative_Conversation_1E_Team_1	鲜花和微笑无用。残酷才能统治废土！
QuestLoc_IntoVault333_Conversation_1_NPCEnd_3	我告诉你，你去杀了“坦克弗兰克”。他就在那幢建筑里。然后我们再谈谈。这个可能会有帮助。
Speech_LivingQuarter_PickupLines_49	我是一个有执照的避难所套装检查员。我需要紧紧地拥抱你。
Outfit_Name_WorkDress	乡村女教师服
QuestLoc_FashionStatement_Conversation_1_Team_4	你是个掠夺者，谁在乎你的样子？
QuestLoc_TheReluctantShill_Conversation_1_NPCStart_1	是真的，我为水之术士工作了一段时间。我们到处卖“神奇”的水。
SnipSnipDialog_Wasteland_79	那就向北走吧。
QuestLoc_TheYolksonYou_Conversation_2_NPCEnd_3	然后和我们去分享这些蛋？做梦吧，约瑟！
Time_Seconds	秒
Message_Tutorial_SpinToWinHowToPlay	花费一枚{筹码}转动幸运大转盘，无论指针停在哪里，都能赢得对应的{奖励}。
QuestLoc_GameShowGauntletK_Conversation_1_NPCStart_4	请说出核子世界里一个掠夺者帮派的名字。
QuestLoc_S2_QL3_Q3_Insider_Question2_Answer2	哦，你真是个扫兴鬼！我要找个能做真正自己的地方。
QuestLoc_OperationSandman_Conversation_2_NPCEnd_3	401K，根据手册。“K”代表“杀死”，你需要多学习。
QuestLoc_DeathandDenial_Conversation_7_Team_2	沃辛顿夫人的随从阿加莎干的。
QuestLoc_FactoryFloorofFear_QuestObjective_1	探索工业基地。
Tutorial_Tip_70	那些配备了宠物的居民如果在任务中死亡了且不准备复活时，宠物会自动回到避难所。
QuestLoc_GameofVaults_Conversation_1_NPCEnd_1	呃……好的，无论如何，我们走吧……
QuestLoc_RaiderTroublesatCorvega_Conversation_1_NPCStart_2	一些伪君子，想要干掉“道路丘疹”！
MrHandyDialog_Wasteland_21	看起来要下雨了，真棒。
QuestLoc_OBrother_Conversation02_NPC01	别乱摸啊，小心点儿。
Room_Armory	军械库
Social_Button_Logout	注销
Encounter_Random_Message215	嗯，地铁站。我不想去那里。
QuestLoc_GameShowGauntletI_Conversation_2_Team_1	马西隆恩。
QuestLoc_WorstCoachEver_Conversation_1_NPCStart_3	一定是蔻驰！他在嘲笑我们！
VictorDialog_Wasteland_12	感觉有什么不对劲……最好警醒起来。
